EventKey,DateKey,EventName,EventScope
1,20250507,Ethereum Pectra,Crypto
2,20250512,U.S.–China Tariff Truce,Traditional
3,20250529,SEC Staking Guidance,Crypto
4,20250613,Israel–Iran War Begins,Both
5,20250624,Israel–Iran Ceasefire,Both
6,20250625,NATO 5% Defense Spending Pledge,Traditional
7,20250702,First U.S. Solana Staking ETF,Crypto
8,20250716,ASML Warns on 2026 Growth,Traditional
9,20250718,GENIUS Act,Crypto
10,20250727,U.S.–EU Tariff Deal,Traditional
11,20250729,SEC Allows In-Kind Crypto ETPs,Crypto
12,20250731,SEC Project Crypto,Crypto
13,20250917,Fed Rate Cut,Both
14,20250917,SEC Crypto ETP Rules,Crypto
15,20251010,U.S.–China Tariff Escalation,Both
16,20260128,ASML AI Orders,Traditional
17,20260228,U.S.–Israeli Strikes on Iran,Both
18,20260317,SEC Crypto Securities Rules,Crypto
19,20260514,CLARITY Act Advances,Crypto
